h

=========== CANDue Logger Program Version 1.11 ==============
************ List of Available Commands ************

  C1  - CAN bus selector
         C0=CAN0
         C1=CAN1
         C2=CAN0 and CAN1
  L - toggles CAN data logging between ON and OFF
  D - toggles DISPLAY FRAMES off/on to print recieved and sent CAN data traffic
  FILE=logfile.csv    sets the microSD file name to log to
  SEND=050 FF 10 01 CA 02 BB 01 77         send standard ID CAN frame - hexadecimal format
  SENDL=18FF30CC FF 10 01 CA 02 BB 01 77   send extended ID CAN frame - hexadecimal format
  RATE=500   The frequency in milliseconds to send stored CAN message 
  KBPS=250   Change CAN bus data rate in kbps 
  MARK=Turned on Air Conditioner Here    - Copies string to log file as a marker
  P - prints current logfile to screen
  I - displays microSD card operating paramters
  MOSI:75 MISO:74 SCK:76  SS:10

**************************************************************
==============================================================

l
Setting data logger to OFF..chademo3.txt..
file=chademo4.txt
Opening new log file: chademo4.txt
l
Success...microSD file open...
Setting data logger to ON..chademo4.txt..
d
Debug= 1
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:03:39.362
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:03:39.362
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:03:39.362
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:03:39.362
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:03:39.401
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:03:39.401
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:03:39.401
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:03:39.401
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:03:39.441
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:03:39.441
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:03:39.441
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:03:39.441
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:03:39.481
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:03:39.481
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:03:39.481
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:03:39.481
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:03:39.521
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:03:39.521
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:03:39.521
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:03:39.561
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:03:39.561
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:03:39.561
Rcvd msgID: 0x404; 06; 49; FF; FF; 03; F5; 00; 00  00:03:39.605
Rcvd msgID: 0x505; 00; 00; 00; 9C; 00; 00; 00; 00  00:03:39.605
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 20; FF; 00  00:03:39.610
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:03:39.643
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:03:39.643
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:03:39.643
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:03:39.652
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:03:39.652
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:03:39.652
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 20; FF; 00  00:03:39.699
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:03:39.752
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:03:39.752
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:03:39.752
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:03:39.752
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 20; FF; 00  00:03:39.793
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:03:39.802
