d
Debug= 1
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:07.294
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:07.294
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:01:07.934
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:07.934
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:08.575
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:08.575
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:09.167
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:09.167
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:01:09.863
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:09.863
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:10.453
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:10.453
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:11.047
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:11.047
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:11.739
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:11.739
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:12.328
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:12.328
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:12.926
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:12.926
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:13.613
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:13.613
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:01:14.205
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:14.205
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:01:14.795
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:14.795
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:15.491
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:15.491
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:01:16.077
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:16.077
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:01:16.666
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:16.666
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:01:17.357
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:17.357
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:01:17.954
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:17.954
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:18.540
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:18.540
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:01:19.238
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:19.238
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:19.831
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:19.831
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:20.476
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:20.476
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:21.118
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:21.118
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:21.713
