d
Debug= 1
Rcvd msgID: 0x404; 06; 69; FF; FE; 00; 6C; 00; 00  00:10:54.038
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:54.038
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:10:54.630
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:54.630
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:10:55.325
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:55.325
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:10:55.911
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:55.911
Rcvd msgID: 0x404; 06; 69; FF; FD; 00; 6C; 00; 00  00:10:56.512
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:56.512
Rcvd msgID: 0x404; 06; 69; FF; FE; 00; 6C; 00; 00  00:10:57.209
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:57.209
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:10:57.801
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:57.801
Rcvd msgID: 0x404; 06; 69; FF; FE; 00; 6C; 00; 00  00:10:58.389
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:58.389
Rcvd msgID: 0x404; 06; 69; FF; FE; 00; 6C; 00; 00  00:10:59.084
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:59.084
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:10:59.676
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:59.676
Rcvd msgID: 0x404; 06; 69; FF; FE; 00; 6C; 00; 00  00:11:00.267
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:11:00.267
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:11:00.960
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:11:00.960
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:11:01.559
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:11:01.559
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:11:02.149
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:11:02.149
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:11:02.845
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:11:02.845
