l
Success...microSD file open...
Setting data logger to ON..sgteold.txt..
d
Debug= 1
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:52.509
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:01:53.050
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:53.050
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:53.694
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:53.694
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:01:54.334
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:54.334
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:54.877
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:54.877
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:55.521
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:55.521
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:01:56.156
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:56.156
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:56.699
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:56.699
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:01:57.347
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:57.347
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:57.985
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:57.985
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:58.522
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:58.522
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:01:59.171
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:59.171
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:01:59.811
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:59.811
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:02:00.407
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:00.407
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:02:00.945
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:00.945
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:02:01.586
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:01.586
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:02:02.128
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:02.128
Rcvd msgID: 0x404; 06; 58; FF; FD; 02; 4C; 00; 00  00:02:02.776
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:02.776
Rcvd msgID: 0x404; 06; 58; FF; FD; 02; 4C; 00; 00  00:02:03.417
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:03.417
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:02:04.064
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:04.064
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:02:04.607
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:04.607
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:05.182
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:05.182
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:05.182
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:05.199
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:05.212
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:05.228
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:05.228
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:05.228
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:05.239
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:02:05.239
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:05.239
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:05.247
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:05.281
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:05.281
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:05.281
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:05.290
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:05.304
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:05.312
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:05.312
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:05.321
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:05.335
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:05.358
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:05.358
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:05.358
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:05.366
