Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:06.092
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:06.092
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:06.791
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:06.791
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:07.391
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:07.391
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:07.979
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:07.979
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:08.678
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:08.678
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:09.276
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:09.276
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:09.970
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:09.970
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:10.556
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:10.556
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:11.149
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:11.149
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:11.843
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:11.843
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:12.435
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:12.435
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:13.031
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:13.031
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:13.729
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:13.729
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:14.320
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:14.320
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:14.912
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:14.912
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:15.603
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:15.603
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:16.195
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:16.195
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:16.786
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:16.786
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:17.482
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:17.482
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:18.078
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:18.078
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:18.669
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:18.669
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:19.359
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:19.359
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:19.957
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:19.957
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:20.543
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:20.543
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:21.239
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:21.239
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:21.834
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:21.834
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:22.528
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:22.528
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:23.114
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:23.114
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:23.706
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:23.706
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:24.394
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:24.394
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:24.985
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:24.985
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:25.581
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:25.581
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:26.278
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:26.278
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:26.870
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:26.870
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:27.460
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:27.460
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:28.145
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:28.145
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:28.743
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:28.743
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:29.334
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:29.334
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:30.030
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:30.030
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:30.618
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:30.618
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:31.207
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:31.207
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:31.904
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:31.904
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:32.496
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:32.496
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:33.081
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:33.081
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:33.780
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:33.780
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:34.378
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:34.378
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:35.018
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:35.018
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:35.663
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:35.663
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:36.256
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:36.256
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:36.949
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:36.949
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:37.542
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:37.542
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:38.139
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:38.139
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:38.834
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:38.834
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:39.424
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:39.424
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:40.023
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:40.023
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:40.707
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:40.707
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:41.299
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:41.299
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:41.890
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:41.890
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:42.586
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:42.586
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:43.175
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:43.175
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:43.767
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:43.767
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:44.462
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:44.462
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:45.062
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:45.062
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:45.649
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:45.649
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:46.345
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:46.345
Rcvd msgID: 0x404; 06; 5B; FF; FF; 02; 27; 00; 00  00:01:46.937
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:46.937
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:47.582
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:47.582
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:48.224
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:48.224
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:01:48.330
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:01:48.379
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:01:48.429
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:01:48.479
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:01:48.529
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:01:48.579
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:01:48.624
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:01:48.674
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:01:48.724
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:01:48.774
Rcvd msgID: 0x404; 06; 5B; FF; FE; 02; 27; 00; 00  00:01:48.817
Rcvd msgID: 0x505; 00; 00; 00; 56; 00; 00; 00; 00  00:01:48.817
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:01:48.824
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:01:48.874
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:01:48.920
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:01:48.970
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:01:49.020
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:01:49.070
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 08; 00  00:01:49.090
Rcvd msgID: 0x108; 00; F9; 01; 7D; 32; 00; 00; 00  00:01:49.091
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:49.094
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:49.098
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 20; FF; 00  00:01:49.144
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 08; 00  00:01:49.180
Rcvd msgID: 0x108; 00; F9; 01; 7D; B6; 00; 00; 00  00:01:49.181
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:49.184
