d
Debug= 1
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:14.138
Rcvd msgID: 0x404; 06; 59; FF; FE; 00; 00; 00; 00  00:01:14.830
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:14.830
Rcvd msgID: 0x404; 06; 59; FF; FE; 00; 00; 00; 00  00:01:15.421
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:15.421
Rcvd msgID: 0x404; 06; 59; FF; FE; 00; 00; 00; 00  00:01:16.021
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:16.021
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:01:16.712
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:16.712
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:01:17.306
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:17.306
Rcvd msgID: 0x404; 06; 59; FF; FE; 00; 00; 00; 00  00:01:17.896
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:17.896
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:01:18.587
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:18.587
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:01:19.184
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:19.184
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:01:19.770
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:19.770
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:01:20.461
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:20.461
Rcvd msgID: 0x404; 06; 59; FF; FE; 00; 00; 00; 00  00:01:21.058
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:21.058
Rcvd msgID: 0x404; 06; 59; FF; FE; 00; 00; 00; 00  00:01:21.649
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:21.649
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:01:22.335
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:22.335
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:22.932
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:22.932
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:23.523
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:23.523
Rcvd msgID: 0x404; 06; 5A; FF; FD; 00; 00; 00; 00  00:01:24.219
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:24.219
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:01:24.810
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:24.810
Rcvd msgID: 0x404; 06; 59; FF; FE; 00; 00; 00; 00  00:01:25.454
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:25.454
Rcvd msgID: 0x404; 06; 59; FF; FE; 00; 00; 00; 00  00:01:26.100
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:26.100
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:01:26.695
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:26.695
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:01:27.387
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:27.387
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:01:27.978
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:27.978
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:01:28.576
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:28.576
Rcvd msgID: 0x404; 06; 5A; FF; FE; 00; 00; 00; 00  00:01:29.269
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:29.269
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:01:29.864
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:29.864
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:30.455
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:30.455
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:31.151
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:31.151
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:31.742
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:31.742
Rcvd msgID: 0x404; 06; 59; FF; FE; 00; 00; 00; 00  00:01:32.329
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:32.329
Rcvd msgID: 0x404; 06; 5A; FF; FF; 00; 00; 00; 00  00:01:33.024
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:33.024
