d
Debug= 1
Rcvd msgID: 0x404; 06; 6B; FF; FF; 00; 00; 00; 00  00:01:30.504
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:30.504
Rcvd msgID: 0x404; 06; 6B; FF; FF; 00; 00; 00; 00  00:01:31.046
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:31.046
Rcvd msgID: 0x404; 06; 6B; FF; FF; 00; 00; 00; 00  00:01:31.694
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:31.694
Rcvd msgID: 0x404; 06; 6B; FF; FF; 00; 00; 00; 00  00:01:32.334
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:32.334
Rcvd msgID: 0x404; 06; 6B; FF; FE; 00; 00; 00; 00  00:01:32.872
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:32.872
Rcvd msgID: 0x404; 06; 6B; FF; FF; 00; 00; 00; 00  00:01:33.520
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:33.520
Rcvd msgID: 0x404; 06; 6B; FF; FF; 00; 00; 00; 00  00:01:34.166
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:34.166
Rcvd msgID: 0x091; 00; 01; 02; 03; 04; 05; 06; 07  00:01:34.643
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:34.652
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:34.652
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 20; FF; 00  00:01:34.701
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:34.755
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:34.755
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:34.755
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:34.755
Rcvd msgID: 0x404; 06; 6B; FF; FF; 00; 00; 00; 00  00:01:34.755
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:34.785
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:34.785
Rcvd msgID: 0x109; 01; 01; 00; 00; 00; 24; FF; 00  00:01:34.829
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:34.830
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:34.830
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:34.830
Rcvd msgID: 0x109; 01; 01; 00; 00; 00; 24; FF; 00  00:01:34.868
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:34.871
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:34.871
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:34.871
Rcvd msgID: 0x109; 01; 01; 00; 00; 00; 24; FF; 00  00:01:34.911
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:34.914
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:34.914
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:34.914
Rcvd msgID: 0x109; 01; 6C; 00; 01; 00; 24; FF; 00  00:01:34.954
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:34.957
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:34.957
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:34.957
Rcvd msgID: 0x109; 01; 26; 01; 01; 00; 24; FF; 00  00:01:34.997
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.000
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.000
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.000
Rcvd msgID: 0x109; 01; DF; 01; 01; 00; 24; FF; 00  00:01:35.040
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.042
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.042
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.042
Rcvd msgID: 0x109; 01; B9; 01; 00; 00; 24; FF; 00  00:01:35.087
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.094
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.094
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.094
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:35.094
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.127
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.127
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.127
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.172
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.172
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.172
Rcvd msgID: 0x404; 06; 6B; FF; FF; 00; 00; 00; 00  00:01:35.219
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:35.219
Rcvd msgID: 0x109; 01; 1C; 01; 00; 00; 24; FF; 00  00:01:35.221
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.255
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.255
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.258
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.258
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.258
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.299
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.299
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.299
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.344
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.344
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.389
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.389
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.389
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.434
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.434
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.434
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.479
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.479
Rcvd msgID: 0x109; 01; 6C; 00; 00; 00; 24; FF; 00  00:01:35.529
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.533
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.533
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.533
Rcvd msgID: 0x109; 01; 5D; 00; 00; 00; 24; FF; 00  00:01:35.578
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.587
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.587
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.587
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.616
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.616
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.616
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.661
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.661
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.661
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:35.661
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.698
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.698
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.698
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:35.698
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.738
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.738
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.738
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:35.738
Rcvd msgID: 0x404; 06; 6B; FF; FF; 00; 00; 00; 00  00:01:35.765
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:35.765
Rcvd msgID: 0x109; 01; 30; 00; 00; 00; 24; FF; 00  00:01:35.775
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.804
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.804
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.804
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.816
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.816
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.816
Rcvd msgID: 0x109; 01; 25; 00; 00; 00; 24; FF; 00  00:01:35.863
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.871
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.871
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.871
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:35.871
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.905
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.905
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.905
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.939
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.939
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.939
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:35.939
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:35.979
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:35.979
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:35.979
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:35.979
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:36.015
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.015
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:36.015
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:36.015
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:36.055
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.055
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:01:36.055
Rcvd msgID: 0x108; 00; F9; 01; 7D; BE; 00; 00; 00  00:01:36.055
Rcvd msgID: 0x109; 01; 12; 00; 00; 00; 24; FF; 00  00:01:36.098
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:01:36.099
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:01:36.099
